Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z
19557859,1711936499,2024-04-01 01:54:59,0.0,0,0.0,0.003302965178202,10.1843117830125,3505.52,0.0,0.0,0.003302966178202,24.0,2.0,-0.21885384984051884,-0.21885384984051884,-0.21902491954859915,1.3089823978901738,1.3406275133112147
19557859,1711936499,2024-04-01 01:54:59,0.0464364505150203,0,143.181433840859,0.0213574085008436,65.8531032919197,3505.52,0.0464364505150203,0.0464364505150203,0.0677938600158639,0.0,0.0,-0.1833797815742588,-0.1833797815742588,-0.16983878922225232,-0.7720706989145539,-0.7729268195142854
19557859,1711936499,2024-04-01 01:54:59,0.4,0,1233.35381798439,0.0032696198056969,10.0814951767843,3505.52,0.4,0.4,0.40326962080569695,0.0,0.0,0.08671703572736594,0.08671703572736594,0.08602298458220449,-0.7720706989145539,-0.7729268195142854
19557859,1711936499,2024-04-01 01:54:59,0.0,0,0.0,0.0037140010533876,11.4516934479843,3505.52,0.0,0.0,0.0037140020533876,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.2187114293343594,-0.7720706989145539,-0.7729268195142854
19557859,1711936499,2024-04-01 01:54:59,0.2,0,616.676908992196,0.0082375639954569,25.399577511719,3505.52,0.2,0.2,0.20823756499545693,0.0,0.0,-0.06606840705657645,-0.06606840705657645,-0.06272471519453045,-0.7720706989145539,-0.7729268195142854
19557859,1711936499,2024-04-01 01:54:59,0.08,0,246.670763596878,0.0011329072009406,3.49318855425527,3505.52,0.08,0.08,0.0811329082009406,0.0,0.0,-0.15773967272694187,-0.15773967272694187,-0.15966531939700623,-0.7720706989145539,-0.7729268195142854
19557859,1711936499,2024-04-01 01:54:59,0.1,0,308.338454496098,0.0041187045152242,12.6995498475034,3505.52,0.1,0.1,0.1041187055152242,0.0,0.0,-0.14246112844854764,-0.14246112844854764,-0.1421344347235626,-0.7720706989145539,-0.7729268195142854
19557860,1711936511,2024-04-01 01:55:11,0.0,0,0.0,0.0044965118759318,13.8644752244817,3505.52,0.0,0.0,0.0044965128759318004,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21811462136645746,0.26845584948780987,0.2838503468984646
19557860,1711936511,2024-04-01 01:55:11,0.0,0,0.0,0.00484682937,14.944638771521,3505.52,0.0,0.0,0.00484683037,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.2178474400499415,-0.7720706989145539,-0.7729268195142854
19557861,1711936523,2024-04-01 01:55:23,0.0,0,0.0,0.005726808521071,17.6579528858214,3505.52,0.0,0.0,0.005726809521071,12.0,1.0,-0.21885384984051884,-0.21885384984051884,-0.21717629461167234,0.26845584948780987,0.2838503468984646
19557861,1711936523,2024-04-01 01:55:23,0.0,0,0.0,0.0034482054517611,10.6321433978106,3505.52,0.0,0.0,0.0034482064517611,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.21891414721162564,-0.7720706989145539,-0.7729268195142854
19557862,1711936535,2024-04-01 01:55:35,1.0,0,3083.38454496098,0.873585,2693.59848770974,3505.52,1.0,1.0,1.873585001,12.0,1.0,0.545073364079193,0.545073364079193,1.2074080299362464,0.26845584948780987,0.2838503468984646
19557862,1711936535,2024-04-01 01:55:35,0.0,0,0.0,0.0027290512695848,8.41471450704416,3505.52,0.0,0.0,0.0027290522695848,0.0,0.0,-0.21885384984051884,-0.21885384984051884,-0.2194626341254262,-0.7720706989145539,-0.7729268195142854
