Blockno,UnixTimestamp,DateTime (UTC),Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3083.38454496098/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Total Value,Net Value,Fee Ratio,Time Gap,Block Gap,Total Value_z,Net Value_z,Fee Ratio_z,Time Gap_z,Block Gap_z,IF_Score,anomaly_label,StatScore,TempScore,FinalScore,FraudFlag
19559909,1711961507,2024-04-01 08:51:47,0.1,0,308.338454496098,0.0031937369385959,9.8475191171376,3505.52,0.1,0.1,0.0319373690665853,0.0,0.0,-0.1424611284485476,-0.1424611284485476,-0.4341368075663676,-0.7720706989145539,-0.7729268195142854,0.1085103741616912,0,0.022548416347656853,0.025549856272684884,0.0575334874582762,0
19559909,1711961507,2024-04-01 08:51:47,0.0,0,0.0,0.0040844823025922,12.5940296059797,3505.52,0.0,0.0,4084482.3025922,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.3664150345116099,0.2684558494878098,0.2838503468984646,0.0403259522087231,0,0.009589264003496646,0.05263157920009691,0.03049240232490728,0
19559910,1711961519,2024-04-01 08:51:59,0.0,0,0.0,0.003422875,10.5540398743333,3505.52,0.0,0.0,3422875.0,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.2367410857157658,0.2684558494878098,0.2838503468984646,0.0358688642093875,0,0.006194001522607536,0.05263157920009691,0.027351462132817396,0
19559910,1711961519,2024-04-01 08:51:59,0.0519974392214535,0,160.328100472978,0.0020843135042867,6.42674004597132,3505.52,0.0519974392214535,0.0519974392214535,0.0400849252465073,0.0,0.0,-0.1791315909651143,-0.1791315909651143,-0.4341368059694599,-0.7720706989145539,-0.7729268195142854,0.1110297942333313,0,0.02350856170664063,0.03873567222816216,0.061562476821621206,0
19559913,1711961567,2024-04-01 08:52:47,0.5,0,1541.69227248049,0.0029588531766686,9.12328215574877,3505.52,0.5,0.5,0.0059177063415017,48.0,3.0,0.1631097571193371,0.1631097571193371,-0.4341368126661789,3.3900354946949016,2.397404679723965,0.5898570834497059,0,0.09163542466440826,0.06593823687360785,0.28578465062036723,0
19559914,1711961591,2024-04-01 08:53:11,0.0,0,0.0,0.00449488,13.8594435234542,3505.52,0.0,0.0,4494879.999999999,24.0,1.0,-0.2188538498405188,-0.2188538498405188,0.4468523117168067,1.3089823978901738,0.2838503468984646,0.2260551354056995,0,0.038939541795309,0.052631579228309036,0.11652418672606522,0
19559914,1711961591,2024-04-01 08:53:11,0.05,0,154.169227248049,0.0026083235589289,8.04246454985926,3505.52,0.05,0.05,0.0521664701352486,0.0,0.0,-0.1806574891445332,-0.1806574891445332,-0.4341368036014968,-0.7720706989145539,-0.7729268195142854,0.1080367523122374,0,0.02354851434821969,0.04063951744844852,0.06076201015387254,0
19559915,1711961603,2024-04-01 08:53:23,0.0,0,0.0,0.0043014671288623,13.2630772657918,3505.52,0.0,0.0,4301467.1288623,12.0,1.0,-0.2188538498405188,-0.2188538498405188,0.4089437054331389,0.2684558494878098,0.2838503468984646,0.0445755845523598,0,0.01070279530321268,0.0526315792310729,0.032637667788443576,0
19559915,1711961603,2024-04-01 08:53:23,0.1313433827843378,0,404.982156560121,0.002469491617771,7.61439228814581,3505.52,0.1313433827843378,0.1313433827843378,0.0188017968368002,0.0,0.0,-0.1185170653632894,-0.1185170653632894,-0.4341368101409182,-0.7720706989145539,-0.7729268195142854,0.1118041381041432,0,0.021921487260919977,0.01824130186557479,0.057138510519140234,0
19559917,1711961627,2024-04-01 08:53:47,0.25,0,770.846136240245,0.002642452571115,8.14769741856846,3505.52,0.25,0.25,0.0105698102421807,0.0,0.0,-0.0278720463605908,-0.0278720463605908,-0.4341368117543741,-0.7720706989145539,-0.7729268195142854,0.1257521535870009,0,0.019548122144185748,0.019501817197119478,0.06202047373189856,0
